A6,직선 도로
B16,추돌 사고
C56,선행자동차(1차사고차량)를 추돌
C67,후행 추돌
C71,주(정)차
B17,차로 감소 도로 (합류)
C57,본선에서 직진
B20,열린 문 접촉 사고
C51,후행 직진
B21,역주행 사고(중앙선 침범)
C13,직진
B22,이면도로 교행 사고
C20,(마주보며) 직진
B23,추월 사고
C60,선행 직진
C61,중앙선 침범 추월(후방)
C62,실선 추월
B24,차로변경(진로변경)
C51,후행 직진
C63,동시 차로변경(진로변경)
C64,정체차로에서 대기 중 진로변경(측면 충돌)
B25,안전지대 통과 사고
C65,후행 직진(안전지대 벗어나기 전)
C66,후행 직진(안전지대 벗어난 후)
B27,정차 후 출발 사고
C73,정차 후 출발
B31,긴급자동차 사고
C13,직진
C51,후행 직진
C60,선행 직진
C85,선행 진로변경
A2,사거리 교차로(신호등 없음)
B2,동일폭 도로
C6,오른쪽에서 직진
C7,오른쪽에서 직진(후진입)
C8,오른쪽에서 직진(선진입)
C20,(마주보며) 직진
C23,왼쪽 도로에서 직진
C24,오른쪽 도로에서 직진
C32,우회전
C33,우회전(후진입)
C34,우회전(선진입)
C45,오른쪽 도로에서 좌회전
B3,대로와 소로
C9,대로에서 직진
C10,대로에서 직진(후진입)
C11,대로에서 직진(선진입)
C25,소로에서 직진《좌측도로》
C26,소로에서 직진《우측도로》
C35,소로에서 우회전
C36,소로에서 우회전(후진입)
C37,소로에서 우회전(선진입)
C38,대로에서 우회전
C39,대로에서 우회전(후진입)
C40,대로에서 우회전(선진입)
C46,소로에서 좌회전
B4,일시정지 표지가 한쪽방향에만 있음
C12,표지가 없는 도로에서 직진
C27,일시정지 위반 직진《좌측도로》
C28,일시정지 위반 직진《우측도로》
C41,일시정지 위반 우회전
C42,일시정지 위반 직진
C47,일시정지 위반 좌회전
B5,일방통행 표지가 한쪽방향에만 있음
C13,직진
B9,교차로 내 진로변경
C44,직진(교차로 내 진로변경)
B11,2개 차량이 나란히 통행 가능한 차로폭
C49,후행 직진(차로 좌측)
C50,후행 직진(차로 우측)
B12,좌/우회전 각도가 90도 미만
C51,후행 직진
B18,2개 차로 동시 우회전
C58,우회전(오른쪽 차로)
B19,2개 차로 동시 좌회전
C59,좌회전(왼쪽 차로)
B27,정차 후 출발 사고
C73,정차 후 출발
B31,긴급자동차 사고
C9,대로에서 직진
A1,사거리 교차로(신호등 있음)
B1,상대 차량이 측면 방향에서 진입
C1,[녹색신호] 직진
C2,"[녹색신호] 직진, [적색신호] 충돌"
C3,"[황색신호] 직진, [적색신호] 충돌"
C4,[황색신호] 직진
C5,[적색신호] 직진
C21,"[녹색 좌회전 신호] 좌회전, [적색신호] 충돌"
C22,"[황색신호] 좌회전, [적색신호] 충돌"
B6,상대 차량이 맞은편 방향에서 진입
C14,(마주보며) [적색신호] 직진
C15,(마주보며) [녹색신호] 직진
C16,(마주보며) [황색신호] 직진
C17,"(마주보며) [녹색 좌회전신호] 좌회전, [적색신호 충돌]"
C18,"(마주보며) [황색신호] 좌회전, [적색신호] 충돌"
C72,[녹색 좌회전 신호] 좌회전
B7,비보호 좌회전 표지 있음
C19,(마주보며) [녹색신호] 좌회전(비보호좌회전)
B8,신호등이 한쪽차량 방향에만 있음
C29,[무신호] 직진
C30,[무신호] 우회전
C31,[무신호] 좌회전
B9,교차로 내 진로변경
C43,[녹색신호] 직진(교차로 내 진로변경)
B23,추월 사고
C48,중앙선 침범 추월
B26,유턴 구역
C20,(마주보며) 직진
C68,우회전《좌측도로》
C69,유턴(선행)
C70,동시 유턴(선행)
B27,정차 후 출발 사고
C73,정차 후 출발
B28,노면 표시 위반 사고
C74,[녹색 좌회전 신호] 직진(좌회전 노면표시차로)
C75,[녹색 직진·좌회전 신호] 후행 직진(좌회전 노면표시차로)
C76,직진(직진·좌회전 노면표시차로)
C77,추월 우회전(직진 노면표시차로)
C78,선행 우회전(직진·우회전 노면표시차로)
B31,긴급자동차 사고
C1,[녹색신호] 직진
C72,[녹색 좌회전 신호] 좌회전
C84,유턴
A3,T자형 교차로
B2,동일폭 도로
C13,직진
C23,왼쪽 도로에서 직진
C24,오른쪽 도로에서 직진
C45,오른쪽 도로에서 좌회전
B3,대로와 소로
C9,대로에서 직진
C25,소로에서 직진《좌측도로》
C26,소로에서 직진《우측도로》
C46,소로에서 좌회전
C52,소로에서 직진
C53,대로에서 좌회전
B4,일시정지 표지가 한쪽방향에만 있음
C12,표지가 없는 도로에서 직진
C27,일시정지 위반 직진《좌측도로》
C28,일시정지 위반 직진《우측도로》
C42,일시정지 위반 직진
C47,일시정지 위반 좌회전
A4,차도와 차도가 아닌 장소
B13,차도가 아닌 장소에서 차도로 진입
C54,차도에서 직진
B14,차도에서 차도가 아닌 장소로 진입
C54,차도에서 직진
A5,주차장(또는 차도가 아닌 장소)
B15,주차구역과 통로
C55,통로 직진
A7,회전교차로
B29,회전차로 1차로형
C79,회전교차로 진입
B30,회전차로 2차로형
C80,회전(회전 2차로)
C81,회전교차로 진입(1차로 → 회전 2차로)
C82,회전(회전 1차로)
C83,진로변경(회전 1차로 → 회전 2차로)
